 n 	 p 	 Domain 	PEP	Time	 Algo 
4	0.5	5	8	0.097	 BE
4	0.5	5	8	0.095	 RD
4	0.6	5	10	0.055	 BE
4	0.6	5	10	0.063	 RD
4	0.7	5	4	0.02	 BE
4	0.7	5	4	0.032	 RD
4	0.8	5	4	0.02	 BE
4	0.8	5	4	0.037	 RD
4	0.9	5	0	0.008	 BE
4	0.9	5	0	0.02	 RD
4	0.5	10	54	0.508	 BE
4	0.5	10	54	0.725	 RD
4	0.6	10	35	0.228	 BE
4	0.6	10	35	0.287	 RD
4	0.7	10	20	0.111	 BE
4	0.7	10	20	0.135	 RD
4	0.8	10	10	0.065	 BE
4	0.8	10	10	0.075	 RD
4	0.9	10	4	0.021	 BE
4	0.9	10	4	0.044	 RD
4	0.5	15	144	1.794	 BE
4	0.5	15	144	4.821	 RD
4	0.6	15	74	0.74	 BE
4	0.6	15	74	1.662	 RD
4	0.7	15	32	0.271	 BE
4	0.7	15	32	0.602	 RD
4	0.8	15	20	0.111	 BE
4	0.8	15	20	0.197	 RD
4	0.9	15	4	0.02	 BE
4	0.9	15	4	0.056	 RD
4	0.5	20	317	4.72	 BE
4	0.5	20	317	8.812	 RD
4	0.6	20	172	1.947	 BE
4	0.6	20	172	4.045	 RD
4	0.7	20	84	0.644	 BE
4	0.7	20	84	1.011	 RD
4	0.8	20	35	0.216	 BE
4	0.8	20	35	0.316	 RD
4	0.9	20	10	0.05	 BE
4	0.9	20	10	0.086	 RD
4	0.5	30	1026	20.281	 BE
4	0.5	30	1026	38.254	 RD
4	0.6	30	496	7.803	 BE
4	0.6	30	496	16.239	 RD
4	0.7	30	208	2.677	 BE
4	0.7	30	208	5.854	 RD
4	0.8	30	84	0.649	 BE
4	0.8	30	84	1.417	 RD
4	0.9	30	20	0.114	 BE
4	0.9	30	20	0.206	 RD
4	0.5	50	4136	135.669	 BE
4	0.5	50	4136	225.179	 RD
4	0.6	50	2110	49.743	 BE
4	0.6	50	2110	100.699	 RD
4	0.7	50	890	15.002	 BE
4	0.7	50	890	34.926	 RD
4	0.8	50	286	3.09	 BE
4	0.8	50	286	7.183	 RD
4	0.9	50	56	0.392	 BE
4	0.9	50	56	0.815	 RD
5	0.5	5	15	0.112	 BE
5	0.5	5	15	0.112	 RD
5	0.6	5	15	0.077	 BE
5	0.6	5	15	0.077	 RD
5	0.7	5	5	0.026	 BE
5	0.7	5	5	0.029	 RD
5	0.8	5	5	0.028	 BE
5	0.8	5	5	0.028	 RD
5	0.9	5	0	0.011	 BE
5	0.9	5	0	0.012	 RD
5	0.5	10	150	1.336	 BE
5	0.5	10	150	1.318	 RD
5	0.6	10	70	0.439	 BE
5	0.6	10	70	0.44	 RD
5	0.7	10	35	0.227	 BE
5	0.7	10	35	0.198	 RD
5	0.8	10	15	0.08	 BE
5	0.8	10	15	0.08	 RD
5	0.9	10	5	0.029	 BE
5	0.9	10	5	0.028	 RD
5	0.5	15	535	6.026	 BE
5	0.5	15	535	6.333	 RD
5	0.6	15	210	2.061	 BE
5	0.6	15	210	2.046	 RD
5	0.7	15	76	0.618	 BE
5	0.7	15	76	0.644	 RD
5	0.8	15	35	0.2	 BE
5	0.8	15	35	0.206	 RD
5	0.9	15	5	0.028	 BE
5	0.9	15	5	0.029	 RD
5	0.5	20	1425	19.325	 BE
5	0.5	20	1425	19.246	 RD
5	0.6	20	605	6.468	 BE
5	0.6	20	605	6.464	 RD
5	0.7	20	210	1.62	 BE
5	0.7	20	210	1.607	 RD
5	0.8	20	70	0.499	 BE
5	0.8	20	70	0.441	 RD
5	0.9	20	15	0.096	 BE
5	0.9	20	15	0.08	 RD
5	0.5	30	5860	115.403	 BE
5	0.5	30	5860	115.37	 RD
5	0.6	30	2330	35.721	 BE
5	0.6	30	2330	35.554	 RD
5	0.7	30	776	9.054	 BE
5	0.7	30	776	9.061	 RD
5	0.8	30	210	1.62	 BE
5	0.8	30	210	1.602	 RD
5	0.9	30	35	0.202	 BE
5	0.9	30	35	0.21	 RD
5	0.5	50	39295	1193.72	 BE
5	0.5	50	39295	1194.055	 RD
5	0.6	50	14780	335.275	 BE
5	0.6	50	14780	336.534	 RD
5	0.7	50	4315	74.685	 BE
5	0.7	50	4315	74.618	 RD
5	0.8	50	1001	10.528	 BE
5	0.8	50	1001	10.527	 RD
5	0.9	50	126	0.903	 BE
5	0.9	50	126	0.877	 RD
8	0.5	5	64	0.459	 BE
8	0.5	5	64	0.69	 RD
8	0.6	5	36	0.205	 BE
8	0.6	5	36	0.433	 RD
8	0.7	5	8	0.047	 BE
8	0.7	5	8	0.239	 RD
8	0.8	5	8	0.046	 BE
8	0.8	5	8	0.244	 RD
8	0.9	5	0	0.012	 BE
8	0.9	5	0	0.205	 RD
8	0.5	10	1464	12.478	 BE
8	0.5	10	1464	16.963	 RD
8	0.6	10	330	2.274	 BE
8	0.6	10	330	2.933	 RD
8	0.7	10	120	0.773	 BE
8	0.7	10	120	1.13	 RD
8	0.8	10	36	0.205	 BE
8	0.8	10	36	0.593	 RD
8	0.9	10	8	0.048	 BE
8	0.9	10	8	0.451	 RD
8	0.5	15	10376	108.721	 BE
8	0.5	15	10376	355.918	 RD
8	0.6	15	2620	24.918	 BE
8	0.6	15	2620	65.06	 RD
8	0.7	15	568	4.632	 BE
8	0.7	15	568	11.414	 RD
8	0.8	15	120	0.747	 BE
8	0.8	15	120	1.621	 RD
8	0.9	15	8	0.047	 BE
8	0.9	15	8	0.631	 RD
8	0.5	20	44018	617.575	 BE
8	0.5	20	44018	1375.673	 RD
8	0.6	20	10880	112.25	 BE
8	0.6	20	10880	195.517	 RD
8	0.7	20	1716	13.878	 BE
8	0.7	20	1716	20.72	 RD
8	0.8	20	330	2.248	 BE
8	0.8	20	330	3.128	 RD
8	0.9	20	36	0.207	 BE
8	0.9	20	36	0.805	 RD
8	0.5	20	-1	-1	BE
8	0.5	30	79169	10816.768	 RD
8	0.6	30	105416	1470.228	 BE
8	0.6	30	105416	7153.679	 RD
8	0.7	30	17460	193.929	 BE
8	0.7	30	17460	694.618	 RD
8	0.8	30	1716	13.833	 BE
8	0.8	30	1716	32.75	 RD
8	0.9	30	120	0.744	 BE
8	0.9	30	120	1.797	 RD
8	0.5	50	-1	-1	 BE
8	0.5	50	14243	10801.581	 RD
8	0.6	50	-1	-1	BE
8	0.6	50	35240	10805.055	 RD
8	0.7	50	-1	-1	BE
8	0.7	50	102469	10803.73	 RD
8	0.8	50	19448	207.772	 BE
8	0.8	50	19448	731.747	 RD
8	0.9	50	792	5.877	 BE
8	0.9	50	792	13.466	 RD
10	0.5	5	130	0.975	 BE
10	0.5	5	130	1.795	 RD
10	0.6	5	55	0.341	 BE
10	0.6	5	55	1.119	 RD
10	0.7	5	10	0.064	 BE
10	0.7	5	10	0.841	 RD
10	0.8	5	10	0.064	 BE
10	0.8	5	10	0.841	 RD
10	0.9	5	0	0.015	 BE
10	0.9	5	0	0.792	 RD
10	0.5	10	4510	39.76	 BE
10	0.5	10	4510	97.527	 RD
10	0.6	10	715	5.221	 BE
10	0.6	10	715	10.887	 RD
10	0.7	10	220	1.473	 BE
10	0.7	10	220	4.41	 RD
10	0.8	10	55	0.343	 BE
10	0.8	10	55	2.858	 RD
10	0.9	10	10	0.064	 BE
10	0.9	10	10	2.401	 RD
10	0.5	15	46151	491.822	 BE
10	0.5	15	46151	1675.213	 RD
10	0.6	15	9475	91.535	 BE
10	0.6	15	9475	241.235	 RD
10	0.7	15	1552	13.043	 BE
10	0.7	15	1552	35.722	 RD
10	0.8	15	220	1.476	 BE
10	0.8	15	220	4.309	 RD
